Date,ben,nav,rebalancing,stoploss,Interest_rate,return,benchmark,benchmark_return,Annu_return,algo_volatility,xret,ex_return,sharpe,IR,sortino,hit_rate,VaR,CVaR,max_drawdown_ret,max_drawdown_start,max_drawdown_end
9/26/2008 0:00,2136.0,1.0,1.0,,2.5,0.0,1.0,,0.0,,-9.92063492063492e-05,,,,-15.874507866387544,,-0.0,,0.0,,
10/31/2008 0:00,1562.02,0.7165794685747598,1.0,,2.5,-0.3332661256872959,0.7312827715355805,-0.2687172284644195,-41.991531836599286,3.740902982818211,-0.33336533203650226,-0.06454889722287643,-15.883958883754666,,-11.235649502189485,,5.025913947132305,5.290435733823479,0.28342053142524015,,
11/28/2008 0:00,1841.45,0.8418304500066704,1.0,,2.5,0.16108947488287093,0.8621020599250937,0.1788901550556332,-14.462838667571699,4.002368142622253,0.16099026853366458,-0.017800680172762262,-4.433351824060798,-27.963826144628626,-3.8838195545230643,,4.761392160441131,5.290435733823479,0.28342053142524015,,
12/31/2008 0:00,1939.43,0.8829503753156025,1.0,,2.5,0.04769037075138299,0.9079728464419476,0.053208069727660276,-7.842635643341645,3.3726797304486302,0.047591164402176644,-0.005517698976277283,-2.6936335019067887,-18.282286418726883,-2.115824010589094,,4.496870373749957,5.290435733823479,0.28342053142524015,,
1/23/2009 0:00,2238.08,0.9958733561893223,1.0,,2.5,0.12035109815058968,1.0477902621722845,0.15398854302552792,-0.20841316788359637,3.1124913607668616,0.12025189180138333,-0.033637444874938235,-0.08384404159481725,-21.81452914667542,-0.07702380029189253,,4.232348587058783,5.290435733823479,0.28342053142524015,,
2/27/2009 0:00,2416.95,1.0200465793383262,1.0,,2.5,0.02398347417393804,1.1315308988764043,0.07992118244209317,0.8336282754024007,2.788536454290221,0.02388426782473169,-0.05593770826815514,0.31766050351823655,-25.30994696556965,0.20126443672761085,,3.967826800367609,5.290435733823479,0.28342053142524015,,
3/31/2009 0:00,2914.13,1.113927706223525,1.0,,2.5,0.08804395145770627,1.3642930711610488,0.2057055379714105,3.8841207742509116,2.5958490967562864,0.08794474510849992,-0.11766158651370423,1.605766239969484,-21.244376049159836,1.0159308638792799,,3.703305013676435,5.290435733823479,0.28342053142524015,,
4/30/2009 0:00,3086.22,1.1750278052103185,1.0,,2.5,0.053399567595723715,1.4448595505617976,0.05905364551341203,5.080692056734845,2.41272724057558,0.053300361246517367,-0.005654077917688315,2.2401049154439763,-18.295662784006268,1.3354879360246608,,3.438783226985261,5.290435733823479,0.28342053142524015,,
5/27/2009 0:00,3276.75,1.2108213451844472,1.0,,2.5,0.030007115677892993,1.534058988764045,0.06173571553550961,5.356369956078644,2.2575009125996033,0.029907909328686644,-0.03172859985761662,2.5048812790620123,-18.81295085127129,1.4091106475664414,,3.1742614402940874,5.290435733823479,0.28342053142524015,,
6/30/2009 0:00,3452.26,1.28621630980019,1.0,,2.5,0.06040588824511395,1.6162265917602998,0.05356221866178386,6.342961344247652,2.137446879168212,0.0603066818959076,0.006843669583330089,3.1157340425533953,-15.781734208733846,1.672590358321883,,2.9097396536029136,5.290435733823479,0.28342053142524015,,
7/31/2009 0:00,3928.58,1.4581601851052368,1.0,,2.5,0.12547067863100375,1.8392228464419476,0.137973385550335,8.640747677953588,2.0838137314352263,0.1253714722817974,-0.012502706919331252,4.336410813463366,-15.22772704400272,2.28623860808639,,2.6452178669117394,5.290435733823479,0.28342053142524015,,
8/31/2009 0:00,3278.0,1.1803326214343426,1.0,,2.5,-0.21137921255130396,1.5346441947565543,-0.16560182050511887,3.4817219078800714,2.2836229910714616,-0.2114784189005103,-0.045777392046185084,1.5810089039228115,-16.399002950090875,0.9394347657208577,,4.226243615060629,5.290435733823479,0.28342053142524015,,
9/30/2009 0:00,3400.62,1.2654595943850873,1.0,,2.5,0.06963909058812301,1.5920505617977527,0.037406955460646665,4.563824132520604,2.200173183944057,0.06953988423891666,0.032232135127476344,2.1471754912691337,-12.475915523813589,1.2382729651446058,,4.1294988769912795,5.290435733823479,0.28342053142524015,,
10/30/2009 0:00,3827.68,1.410116788334133,1.0,,2.5,0.10823715765,1.7919850187265918,0.12558298192682518,6.186105532183418,2.1481635574884796,0.10813795130079365,-0.017345824276825184,2.9763475642079147,-12.528178908334022,1.6862894661687309,,4.032754138921929,5.290435733823479,0.28342053142524015,,
